"systemSku","customField1","customField2"
"P-372755","ONEKP RDS DIECUT STICKER 1","BURTON MENS SUPPORT GLOVE TRUE BLACK 2020"
"166845C","CONVERSE LOUIE LOPEZ PRO OX SHOE WHITE / WHITE / WHITE","CONVERSE LOUIE LOPEZ PRO OX SHOE WHITE / WHITE / WHITE"
"159574C","CONVERSE MENS CHUCK TAYLOR ALL STAR PRO OX SHOE BLACK / BLACK / WHITE","CONVERSE MENS CHUCK TAYLOR ALL STAR PRO OX SHOE BLACK / BLACK / WHITE"
"OO9367-0260","OAKLEY DROP POINT POLISHED BLACK SUNGLASSES w/ BLACK IRIDIUM LENS","OAKLEY DROP POINT POLISHED BLACK SUNGLASSES w/ BLACK IRIDIUM LENS"
"OO4123-1155","OAKLEY HOLBROOK METAL MATTE BLACK SUNGLASSES w/ GREY LENS","OAKLEY HOLBROOK METAL MATTE BLACK SUNGLASSES w/ GREY LENS"
"SMRFAELM-UCC","VONZIPPER ELMORE GLOSS BOURBON SUNGLASSES w/ COPPER CHROME LENS","VONZIPPER MENS ELMORE GLOSS BOURBON SUNGLASSES w/ COPPER CHROME LENS"
"672052374280","SPY DIRK MATTE BLACK SUNGLASSES w/ HD BRONZE POLAR BLUE SPECTRA MIRROR LENS","SPY DIRK MATTE BLACK SUNGLASSES w/ HD BRONZE POLAR BLUE SPECTRA MIRROR"
"672052973863","SPY DIRK SOFT MATTE BLACK SUNGLASSES w/ HD GREY GREEN LENS","SPY DIRK SOFT MATTE BLACK SUNGLASSES w/ HD GREY GREEN LENS"
"670937973793","SPY DIRTY MO SOFT MATTE BLACK SUNGLASSES w/ HD ROSE RED SPECTRA MIRROR LENS","SPY DIRTY MO SOFT MATTE BLACK SUNGLASSES w/ HD ROSE RED SPECTRA MIRROR"
"670937219863","SPY DIRTY MO SOFT MATTE BLACK SUNGLASSES w/ HD GREY GREEN LENS","SPY DIRTY MO SOFT MATTE BLACK SUNGLASSES w/ HD GREY GREEN LENS"
"670937374861","SPY DIRTY MO MATTE BLACK SUNGLASSES w/ HD BRONZE POLAR GREEN SPECTRA MIRROR LENS","SPY DIRTY MO MATTE BLACK SUNGLASSES w/ HD BRONZE POLAR GREEN SPECTRA"
"673176038439","SPY FRAZIER BLACK SUNGLASSES w/ HAPPY BRONZE POLAR LIGHT BLUE SPECTRA LENS","SPY FRAZIER BLACK SUNGLASSES w/ HAPPY BRONZE POLAR LIGHT BLUE SPECTRA"
"SQ103N261410","RONIX KOAL CLASSIC LONGBOARD WAKE SURF BOARD 4'10"" 2020","RONIX KOAL CLASSIC LONGBOARD WAKE SURF BOARD 4'10"" 2020"
"OO9013-F755","OAKLEY FROGSKINS MATTE BLK SUNGLASSES w/ PRIZM BLK PLR LENS",""
"OO9096-05","OAKLEY FUEL CELL MATTE BLK SUNGLASSES w/ GRY PLRIZED LENS",""
"OO9469-0154","OAKLEY WHEEL HOUSE SATIN BLK SUNGLASSES w/ PRIZM GRY LENS",""
"OO9469-0454","OAKLEY WHEEL HOUSE POLISHED BRN TORT SUNGLASSES w/ PRIZM TUNG LENS",""
"673012038863","SPY MCCOY BLACK SUNGLASSES w/ HD PLUS GRY GRN",""
"SMPFJELM-PTB","VONZIPPER ELMORE TORT GLOSS SUNGLASSES w/ WILD BRNZ PLR LENS",""
"SMRF5LES-TOR","VONZIPPER LESMORE TORT SATIN SUNGLASSES w/ VNTG GRY LENS",""
"ONEK KISUPPUMPSU16","ONEK KAHUNA iSUP DOUBLE ACTION SUP PUMP",""
"SJPF1CAS-PBV","VONZIPPER CASTAWAY BLACK GLOSS SUNGLASSES w/ WLD GRY PLR LENS",""
"EE12901042","ELECTRIC SWINGARM MATTE BLACK SUNGLASSES w/ GRY PLR LENS",""
"EE15913943","ELECTRIC SWINGARM XL MATTE TORT SUNGLASSES w/ BRNZ PLR LENS",""
"EE09001020","ELECTRIC KNOXVILLE MATTE BLACK SUNGLASSES w/ GRY LENS",""
"EE09001042","ELECTRIC KNOXVILLE MATTE BLACK SUNGLASSES w/ GRY PLR LENS",""
"EE11201020","ELECTRIC KNOXVILLE XL MATTE BLACK SUNGLASSES w/ GRY LENS",""
"670939204352","SPY LOGAN CLEAR SMOKE SUNGLASSES w/ GRY GRN SLV MRR",""
"OO9102-O255","OAKLEY HOLBROOK DARK INK FADE SUNGLASSES w/ PRIZM BLK PLR LENS",""
"OO9367-0160","OAKLEY DROP POINT MATTE BLK SUNGLASSES w/ GRY LENS",""
"OO9101-6827","OAKLEY BATWOLF MATTE BLK SUNGLASSES w/ GRY PLR LENS",""
"OO9263-5763","OAKLEY TURBINE GRY INK SUNGLASSES w/ PRIZM RUBY PLR LENS",""
"EE09062342","ELECTRIC KNOXVILLE DARKSIDE TORT SUNGLASSES w/ GRY PLR LENS",""
"SMPF7DIP-PLC","VONZIPPER DIPSTICK BLACK SATIN SUNGLASSES w/ WLD BLU FLSH PLR LENS",""
"116721","BURTON CONCORD SMALLS YOUTH BOOT BLACK/BLUE 2021","2021 BURTON CONCORD SMALLS YOUTH BOOT BLACK/BLUE"
"KCRTB205","686 STRETCH HOOK TOOL BELT NASA 2021","2021 686 STRETCH HOOK TOOL BELT NASA"
"KCRGNS03","ONEKP 2021 686 MULTI ANYTHING CARGO PANT CHA S",""
"KCRGNS02","ONEKP 2021 686 EVERYWHERE PANT - SLIM FIT BLK XL",""
"19176103001","ANON WM1 MFI GOGGLE BLACK W/PERCEIVE VARIABLE GREEN + BONUS LENS + MFI MASK 2022","ANON WM1 MFI GOGGLE BLACK W/PERCEIVE VARIABLE GREEN + BONUS LENS + MFI"
"NF0A3SGCDYYXXLREG","THE NORTH FACE MENS WARM POLY TIGHT MEDIUM GREY HEATHER 2021","TNF MENS WARM POLY TIGHT MEDIUM GREY HEATHER 2021"
"01300320-BLACK-51M-XXL","DAKINE WRISTGUARD GLOVE BLACK 2021","2021 DAKINE WRISTGUARD GLOVE BLACK"
"AB21PRT_03-BLK-M","AIRBLASTER TEAM LS TEE BLACK 2021","AIRBLASTER TEAM LS TEE BLACK 2021"
"AB21PRT_05-BLK-M","AIRBLASTER AIR STACK PULLOVER HOODY BLACK 2021","AIRBLASTER AIR STACK PULLOVER HOODY BLACK 2021"
"22126100001","BURTON WOMENS LAROSA SWEATER TRUE BLACK/TRUPEY 2021","2021 BURTON LAROSA SWEATER WOMENS TRUBLK/TRUPEY"
"900","OAKLEY LINE MINER GOGGLE REPL LENS XM PRIZM PRSMN 2021","OAKLEY LINE MINER GOGGLE REPL LENS XM PRIZM PRSMN 2021"
"600","OAKLEY LINE MINER XM GOGGLE REPL LENS PRIZM ROSE 2021","OAKLEY LINE MINER XM GOGGLE REPL LENS PRIZM ROSE 2021"
"1000","OAKLEY LINE MINER XM GOGGLE REPL LENS PRIZM DARK GRY 2021","OAKLEY LINE MINER XM GOGGLE REPL LENS PRIZM DARK GRY 2021"
